,Rank,DALY rate,Sunshine Hours/Year,Area
Bangladesh,4,1401.53,206.6,147570.0
India,5,1400.84,243.41,3287263.0
Pakistan,6,1400.42,299.22,803940.0
Brazil,7,1396.1,220.43,8515767.0
Afghanistan,10,1385.14,317.51,647500.0
Finland,11,1344.13,185.8,337030.0
Slovenia,13,1248.47,197.4,20253.0
Belgium,14,1244.46,154.6,32545.0
France,15,1234.32,224.9,675417.0
Chile,16,1221.23,264.85,756950.0
Bolivia,19,1161.56,228.89,1098580.0
Nicaragua,20,1161.25,275.99,129494.0
Canada,21,1157.07,202.8,9984670.0
Ecuador,22,1156.3,190.95,283560.0
Peru,23,1156.07,201.33,1285220.0
Croatia,24,1141.79,191.3,56542.0
Armenia,25,1133.2,247.4,29800.0
Azerbaijan,26,1120.05,220.74,86600.0
Switzerland,27,1114.11,156.6,41210.0
Denmark,31,1110.76,173.9,43098.0
Uzbekistan,32,1110.18,282.39,447400.0
Austria,34,1108.3,188.4,83858.0
El Salvador,35,1103.93,295.7,21040.0
Colombia,37,1099.51,158.97,1197411.0
Honduras,39,1098.66,225.98,112090.0
Uruguay,43,1095.86,248.14,176220.0
Argentina,48,1094.2,229.9,2780400.0
Venezuela,51,1088.72,289.54,912050.0
Panama,55,1086.71,174.35,78201.0
Paraguay,57,1085.28,280.3,406750.0
Sweden,59,1060.42,187.15,449964.0
Georgia,60,1056.6,204.6,69701.0
Albania,61,1047.94,254.4,28748.0
Bosnia and Herzegovina,62,1044.53,176.9,51129.0
Poland,63,1043.18,157.1,312685.0
Slovakia,64,1042.62,203.8,48845.0
Romania,65,1041.97,211.5,238391.0
Bulgaria,66,1040.66,217.7,110910.0
Turkey,69,1037.51,233.38,780580.0
Norway,70,996.78,166.8,324220.0
United Kingdom,71,960.624,153.0,243610.0
Ireland,72,959.325,145.3,71273.0
Iceland,75,955.986,132.6,103000.0
Germany,76,955.011,164.4,357021.0
Cyprus,78,936.667,331.41,9250.0
Morocco,79,936.319,315.55,446550.0
Czech Republic,80,934.095,166.8,78867.0
Egypt,81,931.894,375.64,1001450.0
Iraq,82,931.842,324.08,437072.0
Tunisia,84,931.414,305.0,163610.0
Iran,86,929.554,282.61,1648000.0
Indonesia,87,927.707,298.33,1904556.0
Thailand,88,925.765,217.5,514000.0
Philippines,93,921.373,210.31,300000.0
Libya,94,919.74,317.81,1759540.0
Singapore,95,919.158,202.24,692.7
Vietnam,99,911.415,212.35,329560.0
Papua New Guinea,100,909.399,246.3,462840.0
Fiji,103,903.122,192.2,18270.0
Solomon Islands,108,900.169,233.0,28450.0
Saudi Arabia,114,895.616,323.65,2149690.0
Oman,116,888.392,349.33,309500.0
North Korea,118,868.902,249.2,120540.0
Mongolia,119,866.49,279.15,1565000.0
South Korea,120,863.421,219.67,98480.0
Netherlands,122,861.586,166.2,41526.0
Kazakhstan,123,860.07,243.15,2724900.0
Ukraine,124,858.312,195.5,603628.0
Estonia,125,857.445,182.6,45339.0
China,126,857.314,218.3,9572900.0
Russia,127,856.718,197.28,17098246.0
Belarus,128,855.825,180.7,207600.0
Lithuania,129,855.363,169.1,65201.0
Latvia,130,855.207,175.4,64589.0
Moldova,131,855.04,212.6,33843.0
New Zealand,132,851.065,204.4,269190.0
Hungary,134,847.062,198.8,93030.0
Australia,135,846.943,283.68,7692024.0
Mexico,137,784.702,259.62,1964375.0
Italy,138,776.376,219.4,301230.0
Malta,139,763.792,305.4,316.0
Mali,141,746.409,321.34,1240000.0
Angola,143,739.066,234.1,1246700.0
Burkina Faso,144,738.634,320.9,274200.0
Guinea-Bissau,147,737.928,270.7,36120.0
Equatorial Guinea,148,737.167,154.9,28051.0
Chad,149,736.668,335.32,1284000.0
Togo,150,736.605,258.0,56785.0
Nigeria,151,736.038,266.91,923768.0
Senegal,152,735.975,314.6,196190.0
Somalia,153,735.67,310.3,637657.0
Madagascar,155,735.148,286.44,587040.0
Cameroon,157,734.635,216.51,475440.0
Benin,160,733.968,263.05,112620.0
Mauritania,161,733.944,333.25,1030700.0
Mozambique,163,733.777,283.8,801590.0
Gabon,164,733.615,172.02,267667.0
Djibouti,165,733.559,327.9,22000.0
Guinea,166,732.777,244.0,245857.0
Sudan,169,732.233,355.95,1861484.0
Algeria,170,731.743,326.65,2381740.0
Burundi,171,731.009,237.34,27834.0
Niger,172,730.976,320.32,1267000.0
Ghana,173,730.842,236.75,238540.0
Eritrea,174,730.154,336.1,121320.0
Namibia,176,726.357,373.75,825418.0
Malawi,177,725.934,279.59,118480.0
South Africa,178,725.772,314.13,1219912.0
Tanzania,180,724.539,303.28,945087.0
Zimbabwe,181,724.516,306.54,390580.0
Zambia,182,724.126,296.55,752614.0
Botswana,183,723.997,342.67,600370.0
Ethiopia,185,723.892,278.49,1127127.0
Kenya,186,723.667,303.0,580367.0
Uganda,187,722.676,227.27,241550.0
Portugal,188,721.798,280.6,88267.0
Greece,190,632.054,297.5,131940.0
Spain,191,620.772,275.53,504781.0
Japan,192,531.252,180.86,377835.0
